trjFile,tMinTTC,xMinPET,yMinPET,zMinPET,TTC,PET,MaxS,DeltaS,DR,MaxD,MaxDeltaV,ConflictAngle,ClockAngle,ConflictType,PostCrashV,PostCrashHeading,FirstVID,FirstLink,FirstLane,FirstLength,FirstWidth,FirstHeading,FirstVMinTTC,FirstDeltaV,xFirstCSP,yFirstCSP,xFirstCEP,yFirstCEP,SecondVID,SecondLink,SecondLane,SecondLength,SecondWidth,SecondHeading,SecondVMinTTC,SecondDeltaV,xSecondCSP,ySecondCSP,xSecondCEP,ySecondCEP,P(UEA),mTTC,mPET,
S000002_001.trj,907.10,244.70,201.18,0.00,2.70,2.80,11.15,11.15,-1.34,-2.18,5.76,-4.71,6:09,lane change,5.76,175.28,466,2,1,4.32,2.06,179.99,0.00,5.76,246.13,201.18,235.41,201.18,484,2,2,4.50,2.11,175.28,11.15,5.40,283.72,198.32,249.08,201.18,0.00,99.00,99.00,
S000002_001.trj,934.00,198.03,271.80,0.00,2.20,2.30,16.03,1.01,-0.57,-3.23,0.56,0.00,6:00,rear end,15.47,269.96,498,4,2,4.99,2.12,269.96,15.02,0.46,198.03,271.80,198.00,232.75,501,4,2,4.33,1.99,269.96,16.03,0.56,198.05,313.01,198.01,250.39,0.00,99.00,0.13,
S000002_001.trj,935.10,194.73,269.62,0.00,2.30,2.20,14.39,0.53,-0.56,-3.21,0.31,0.00,6:00,rear end,14.16,269.96,499,4,1,3.56,1.88,269.96,13.85,0.31,194.73,269.62,194.71,235.53,503,4,1,4.41,2.05,269.96,14.39,0.23,194.75,304.63,194.72,255.78,0.00,99.00,0.08,
S000002_001.trj,944.60,255.23,201.18,0.00,2.00,2.60,15.88,2.25,-0.51,-2.87,1.23,0.00,6:00,rear end,14.86,179.99,508,2,1,3.56,1.88,179.99,13.63,1.23,255.23,201.18,220.68,201.18,510,2,1,4.20,1.91,179.99,15.88,1.02,297.63,201.17,237.02,201.18,0.00,99.00,0.22,
S000002_001.trj,970.90,139.88,188.54,0.00,3.00,1.30,13.61,0.43,0.00,0.00,0.21,0.00,6:00,rear end,13.40,359.99,522,1,1,4.59,2.04,359.99,13.61,0.21,139.88,188.54,156.83,188.54,526,1,1,4.50,2.11,359.99,13.18,0.21,119.29,188.54,136.43,188.54,0.00,99.00,0.22,
S000002_001.trj,990.00,142.89,188.54,0.00,2.10,2.40,11.80,1.38,-0.02,-3.26,0.73,0.00,6:00,rear end,11.05,359.99,534,1,1,4.33,1.99,359.99,11.78,0.73,142.89,188.54,174.92,188.53,533,1,1,4.78,2.02,359.99,10.39,0.65,111.73,188.54,162.23,188.54,0.00,99.00,0.17,
S000002_001.trj,991.50,175.36,188.53,0.00,1.70,2.50,4.43,4.37,-2.62,-4.21,2.29,0.00,6:00,rear end,2.14,359.99,526,1,1,4.50,2.11,359.99,0.06,2.08,175.19,188.53,200.58,188.53,534,1,1,4.33,1.99,359.99,4.43,2.29,163.70,188.54,179.74,188.53,0.50,0.30,99.00,
S000002_001.trj,996.50,220.43,198.69,0.00,2.40,1.80,9.84,8.96,-0.54,-1.15,4.55,21.06,5:18,rear end,5.44,178.21,521,2,2,4.59,2.04,158.93,0.96,4.55,221.57,197.99,213.22,201.21,539,2,2,4.75,2.03,179.99,9.84,4.41,252.97,197.88,216.65,197.88,0.00,99.00,0.28,
S000002_001.trj,1000.70,207.03,124.37,0.00,2.90,1.30,13.86,1.89,0.00,0.00,0.95,0.00,5:59,rear end,12.92,89.99,540,3,1,4.75,2.03,89.99,13.86,0.94,207.03,124.37,207.03,151.12,541,3,1,4.50,2.11,89.99,11.97,0.95,207.03,105.15,207.03,131.48,0.00,99.00,0.17,
S000002_001.trj,1036.80,198.00,222.62,0.00,2.80,4.50,1.37,1.21,-1.87,-1.87,0.62,0.00,6:00,rear end,0.78,269.96,543,4,2,4.41,2.05,269.96,0.16,0.62,198.00,222.62,197.99,209.54,552,4,2,4.75,2.03,269.96,1.37,0.58,198.00,230.54,198.00,227.13,1.00,0.60,99.00,
S000002_001.trj,1039.50,235.99,197.88,0.00,2.30,3.40,14.79,5.29,-0.55,-3.16,2.76,0.00,6:00,rear end,12.03,179.99,555,2,2,4.75,2.03,179.99,9.49,2.54,237.83,197.88,220.11,197.88,558,2,2,4.32,2.06,179.99,14.79,2.76,286.23,197.87,229.95,197.88,0.00,0.90,99.00,
S000002_001.trj,1054.50,130.74,188.54,0.00,2.70,1.60,13.34,0.40,-0.53,-2.13,0.20,0.00,5:59,rear end,13.14,359.99,562,1,1,4.14,2.08,359.99,13.34,0.20,129.41,188.54,157.35,188.54,564,1,1,4.14,2.08,359.99,12.94,0.20,104.69,188.55,136.88,188.54,0.00,99.00,0.10,
