trjFile,tMinTTC,xMinPET,yMinPET,zMinPET,TTC,PET,MaxS,DeltaS,DR,MaxD,MaxDeltaV,ConflictAngle,ClockAngle,ConflictType,PostCrashV,PostCrashHeading,FirstVID,FirstLink,FirstLane,FirstLength,FirstWidth,FirstHeading,FirstVMinTTC,FirstDeltaV,xFirstCSP,yFirstCSP,xFirstCEP,yFirstCEP,SecondVID,SecondLink,SecondLane,SecondLength,SecondWidth,SecondHeading,SecondVMinTTC,SecondDeltaV,xSecondCSP,ySecondCSP,xSecondCEP,ySecondCEP,P(UEA),mTTC,mPET,
S000001_001.trj,909.00,244.81,201.18,0.00,2.80,3.20,5.79,4.58,-1.78,-1.78,2.35,-2.89,6:06,rear end,3.55,177.58,470,2,1,4.41,2.05,179.99,1.21,2.35,245.21,201.18,237.04,201.18,484,2,1,4.50,2.11,177.10,5.79,2.24,262.33,200.51,249.23,201.17,0.25,0.40,99.00,
S000001_001.trj,934.30,194.73,271.77,0.00,2.10,2.40,16.03,1.01,-0.57,-3.23,0.56,0.00,6:00,rear end,15.47,269.96,498,4,1,4.99,2.12,269.96,15.02,0.46,194.73,271.77,194.70,232.29,501,4,1,4.33,1.99,269.96,16.03,0.56,194.75,313.03,194.71,248.91,0.00,99.00,0.06,
S000001_001.trj,935.10,198.03,269.62,0.00,2.30,2.20,14.39,0.53,-0.56,-3.21,0.31,0.00,5:59,rear end,14.16,269.96,499,4,2,3.56,1.88,269.96,13.85,0.31,198.03,269.62,198.01,235.53,503,4,2,4.41,2.05,269.96,14.39,0.23,198.05,304.62,198.02,255.78,0.00,99.00,0.08,
S000001_001.trj,935.30,194.74,287.38,0.00,2.50,2.00,16.03,0.27,-0.53,-2.96,0.14,0.00,6:00,rear end,15.89,269.96,501,4,1,4.33,1.99,269.96,16.03,0.14,194.74,287.38,194.71,247.53,506,4,1,4.50,2.11,269.96,15.76,0.13,194.76,322.36,194.73,271.52,0.00,99.00,0.12,
S000001_001.trj,944.20,256.61,201.18,0.00,2.20,2.40,15.88,2.15,-0.52,-2.92,1.17,0.00,6:00,rear end,14.90,179.99,508,2,1,3.56,1.88,179.99,13.73,1.17,256.61,201.18,222.79,201.18,510,2,1,4.20,1.91,179.99,15.88,0.98,296.94,201.17,243.02,201.18,0.00,99.00,99.00,
S000001_001.trj,970.90,139.88,188.54,0.00,3.00,1.30,13.61,0.43,0.00,0.00,0.21,0.00,6:00,rear end,13.40,359.99,522,1,1,4.59,2.04,359.99,13.61,0.21,139.88,188.54,156.83,188.54,526,1,1,4.50,2.11,359.99,13.18,0.21,119.29,188.54,136.43,188.54,0.00,99.00,0.09,
S000001_001.trj,989.90,133.91,188.54,0.00,2.10,2.50,14.56,0.86,-0.64,-5.79,0.45,-2.08,6:04,lane change,14.23,358.87,534,1,1,4.33,1.99,359.99,13.87,0.45,133.91,188.54,174.12,188.53,537,1,2,4.78,2.02,357.91,14.56,0.41,94.02,190.86,157.74,188.54,0.00,99.00,0.12,
S000001_001.trj,990.50,133.28,188.54,0.00,2.10,2.50,12.05,0.84,-2.30,-4.72,0.42,2.94,5:54,lane change,11.76,1.49,533,1,1,4.78,2.02,359.99,11.47,0.42,133.28,188.54,163.07,188.54,535,1,1,4.75,2.03,2.93,12.05,0.42,100.90,188.55,147.51,190.93,0.00,99.00,99.00,
S000001_001.trj,991.50,175.36,188.53,0.00,1.70,2.50,4.44,4.38,-2.61,-4.16,2.29,0.00,6:00,rear end,2.15,359.99,526,1,1,4.50,2.11,359.99,0.06,2.08,175.19,188.53,204.20,188.53,534,1,1,4.33,1.99,359.99,4.44,2.29,163.67,188.54,179.77,188.53,0.00,0.30,99.00,
S000001_001.trj,1012.60,194.72,267.05,0.00,2.40,2.00,14.89,0.70,-0.53,-3.03,0.36,-2.32,6:05,lane change,14.71,268.75,543,4,1,4.41,2.05,269.96,14.52,0.36,194.72,267.05,194.70,229.74,545,4,2,4.75,2.03,267.64,14.89,0.34,196.73,300.85,194.72,251.94,0.00,99.00,0.14,
