V/C,AV%,av_pct,rear end (n),rear end (%),lane change (n),lane change (%),crossing (n),crossing (%),Total
"V/C 0,3",0%,0,28,63.6,16,36.4,0,0.0,44
"V/C 0,3",5%,5,29,65.9,15,34.1,0,0.0,44
"V/C 0,3",10%,10,48,75.0,16,25.0,0,0.0,64
"V/C 0,3",15%,15,60,75.0,20,25.0,0,0.0,80
"V/C 0,3",20%,20,74,77.9,21,22.1,0,0.0,95
"V/C 0,9",0%,0,1892,86.2,303,13.8,0,0.0,2195
"V/C 0,9",5%,5,1931,86.0,314,14.0,1,0.0,2246
"V/C 0,9",10%,10,1934,84.4,356,15.5,1,0.0,2291
"V/C 0,9",15%,15,1967,85.9,324,14.1,0,0.0,2291
"V/C 0,9",20%,20,2138,86.2,343,13.8,0,0.0,2481
